set,number,name,type,subtype,rarity,allegiances,traits,artist,politics_ability,politics_cost,intrigue_ability,intrigue_cost,onePower_ability,onePower_cost,combat_ability,combat_cost,effect,lore,printing_of,printing_note
premiere,144,Lady Colavaere,Character,,U,Cairhien,,April Lee,2,1,2,1,,,,,Lady Colavaere gains +1 Intrigue while there are no other Cairhien characters in play with Politics or Intrigue greater than 2.,"A more than handsome woman in her middle years, with dark ivory lace ... and horizontal slashes of color from high lace collar to her knees ...",,
premiere,145,Lady Elenia,Character,,F,Andor,Dark Nature,Liz Danforth,1,1,1,,,,,,You may rotate Lady Elenia as a limited event to have her cease participating in a challenge.,"... of House Sarand, shrewish, honey-haired, Elenia.",,
premiere,146,Lady Ellorien,Character,,F,Andor,Light Nature,Liz Danforth,2,2,1,,,,,,,"Morgase nodded dully ... Ellorien, now one of her closest friends. At least, she had been. Elayne had been named after Ellorian's grandmother.",,
premiere,147,Lan Mandragoran,Character,,F,Aes Sedai,"Light Nature,Warder,Bonded to Moiraine Sedai",Darrell Sweet,,1,1,,,,4,2,Lan cannot be controlled by a Villain player. Lan may pay [combat][combat] to generate either a [politics] or a [intrigue].,The rose petal floats on the water ... The kingfisher flashes above the pond. Life and beauty swirl in the midst of death.,,
premiere,148,Lanfear (I),Character,,R,Dark One,"Starting Villain,Forsaken,Dreamwalker",Steve Snyder,2,,2,,4,,,,"Whenever Lanfear rolls at least [onePower][onePower][onePower], she may rotate the Dragon Reborn for no effect.","I serve. I have served the Lord of the Twilight long. Long did I lie imprisoned for my service, in an endless, dreamless sleep ... Now I am free again, and I will use what is mine.",,
premiere,149,Learning From The Past,Challenge,,C,,,Jeff Menges,,,,,,,,,"Only Politics and Intrigue may be rolled in this challenge. If you succeed, this challenge becomes a player advantage targeting you. You may discard the advantage to pay for the ability symbol cost of playing an advantage.","Surprising what you can dig out of books if you read long enough, isn't it?",,
premiere,150,Liandrin Sedai,Character,,R,"Dark One,Aes Sedai",Black Ajah,David Cherry,2,1,3,2,2,1,,,"Liandrin has the Aes Sedai allegiance, and is considered to be Red Ajah. Rotate Liandrin as an event to look at a random card in another player's hand. If the card has any [onePower] in its cost, discard it.","... false Dragons ravage the land. The while, you Blues smile and talk of nothing, and try to hold on to the past.",,
premiere,151,Light Cavalry,Troop,,F/C,Mercenary,Multiple,Eric Anderson,,1,,,,,2,1,"If you succeed at a challenge in which this troop participated and if this card has less than 2 damage, you may put one point of damage on another player's troop that participated, after all normal damage is applied.","Light cavalry is best for harrying. Bite at the flanks, keep them running, and never let them settle to fight.",,
premiere,152,Lightning,Event,,U,,,Jim Holloway,,,,,,,,,"Play this card during the Opening Moves or Coming to Grips step of a challenge. Target a character or troop participating in that challenge. Pay [onePower][onePower] to put one point of damage on the target. For each additional [onePower][onePower] you pay, you may put a point of damage on a different participating character or troop.","Like rapid beats on a giant drum, bolt followed bolt...",,
premiere,153,Limit the Opposition,Challenge,,U,,,Chris Arneson,,,,,,,,,"If you succeed, this challenge becomes a player advantage targeting you. Place a limit token on the advantage for each two by which you succeed. During the ready round you may remove a limit token to target another player. The target cannot draw more than two cards during that turn.","I wouldn't think an inn with the Dragon's Fang on its door would get much custom. Might have trouble with fire, with that on your door.",,
premiere,154,Local Aid,Event,,C,,,Kelly Freas,,,,,,,,,"For each [combat][combat] you pay, remove one token from your opponent's troop damage pool.","You are welcome to our fires. There will be hot water, and bandages and poultices.",,
premiere,155,Loial,Character,,R,Dragon,"Ogier,Treesinger",Chris Arneson,2,2,,,,,1,,"Whenever Loial participates in a challenge, draw one card during the Opening Moves step of that challenge.","His eyes were the size of saucers, with thick eyebrows that dangled like moustaches to his cheeks, and his ears poked up through long hair in tufted points.",,
premiere,156,Longbow,Advantage,Character,R,,Weapon,Larry Elmore,,,,,,,,2,"Target a character with the Combat ability. While the target is participating in a challenge, rotate him as a limited event, select a non-Hero, non-Villain character participating in the same challenge, and roll the target's dice. Apply any damage on the character selected. Other results are ignored.","Rand was not aware of raising his bow, or drawing the fletching against his cheek, to his ear.",,
premiere,157,Lord Barthanes,Character,,R,"Dark One,Cairhien",,Theodor Black,2,2,3,2,,,1,,"Barthanes has the Cairhien allegiance. While participating in a challenge, all Intrigue ability symbols Barthanes rolls are converted into damage symbols.","And this one the personal seat of Lord Barthanes, who is next to the King himself in power.",,
premiere,158,Lord Daricain,Character,,U,Cairhien,,Jim Holloway,2,1,1,,,,2,2,,... and Lieutenant Lord Daricain of House Annallin.,,
premiere,159,Lord Edorion,Character,,C,Tear,,Nan Fredman,1,2,1,,,,1,,"If Lord Edorion's cost is payed for by a Tear High Lord or Tear High Lady, this card's cost is [politics].",What's the matter? Did I say something?,,
premiere,160,Lord Gaebril,Advantage,Character,F,,,Ran Ackels,,,,,,,,,May only target Rahvin. Rahvin gains the Andor allegiance.,"Gaebril was still speaking, and every lord and lady seemed to hang on his words. Morgase was frowning as she listened, yet she nodded as much as any other.",,
premiere,161,Lord Jarid,Character,,F,Andor,Dark Nature,Liz Danforth,2,2,,,,,1,,"If Lord Jarid rolls three ability symbols during a turn, draw one card.",Dark square-faced Jarid of House Sarand ...,,
premiere,162,Lord Lir,Character,,F,Andor,Dark Nature,Theodor Black,2,2,1,,,,1,1,"During the Opening Moves step of a challenge in which Lord Lir is participating, you may add one point of damage to Lord Lir to add a token to your character damage pool.","... and Lir of House Baryn, a whip of a man, wearing a sword of all things ...",,
premiere,163,Lord Meresin,Character,,U,Cairhien,Reinforcement,Ron Walotsky,1,1,1,1,,,2,1,,Lieutenant Lord Meresin of House Daganred,,
premiere,164,Lord Nasin,Character,,F,Andor,Dark Nature,Liz Danforth,2,2,1,,,,2,1,,"... and bony, goat-faced Nasin of House Caeren",,
premiere,165,Lord Pelivar,Character,,F,Andor,Light Nature,Theodor Black,2,2,,,,,2,1,"As an event, Lord Pelivar may pay [combat] to remove one point of damage from an opponent's character damage pool in a challenge in which this card is participating.","If I must die to defend my lands and my people, then better here than where my lands and people die, too.",,
premiere,166,Lord Perrin,Character,,R,Dragon,"Wolfbrother,Ta'veren,Reinforcement",Larry Elmore,2,,1,,,,3,,"You must have 4 Pattern to replace Perrin Aybara. Perrin gains +1 Combat while participating in a challenge against monster characters. When applying his damage while participating in a challenge, Perrin can choose which applicable character any damage he has generated is applied to.",Goldeneyes! Lord Perrin! Goldeneyes!,,
premiere,167,Lord Talmanes,Character,,U,Cairhien,,Nan Fredman,1,1,1,1,,,3,2,"When Lord Talmanes participates in a challenge, you may target a troop participating in the same challenge. It may not ready on the next ready round.",... he led these Cairhienin although there were older men and even gray hair present.,,
premiere,168,Lucky Find,Event,,R,,,Mat Innis,,,,,,,,,Choose a type of advantage (such as a player advantage). Find the top advantage of that type in your deck and place it in your hand.,There could be treasure...,,
premiere,169,Marksmen,Advantage,Troop,U,,Weapon,Bill O'Conner,,,,,,,,2,"Target a troop you control. The target's Combat ability is reduced by two. While participating in a challenge, the target rolls its dice and applies the results in the Opening Moves step instead of the Coming to Grips step (any damage generated is still considered troop damage).","The snap of bowstrings was lost in the Trolloc roar, but a goose-fletched hail streaked the sky as it arced out, plunging down into the black-mailed horde.",,
premiere,170,Mat Cauthon (I),Character,,F,Dragon,Ta'veren,David Cherry,,2,2,,,,1,,"You may reroll one of Mat's dice each turn (immediately after making his initial roll, the old result is ignored).",Mat's brown eyes twinkled with mischief ... Few people had escaped his pranks.,,
premiere,171,Mat the Warrior,Character,,R,Dragon,Ta'veren,Tony Moseley,1,,2,,,,4,,"You must have 4 Pattern to replace Mat Cauthon. You may reroll one of Mat's dice each turn (immediately after making his initial roll, the old result is ignored). Mat may participate in challenges as a troop. Symbols Mat generates have all allegiances when they are used to recruit troops.","It was as if he could remember dances and battles and streets and cities, none of which he had ever really seen... like a hundred pieces of memory from a hundred different men.",,
premiere,172,Min,Character,,R,Dragon,,Ron Rousselle,1,1,1,1,,,,,"Rotate Min as an event and target a character you control. Retrieve a replacement character for the target from your deck and place it in your hand. If Min is ever killed, you must convert one of your Pattern tokens into a neutral token.",A shepherd with a heron-mark sword. That's enough to make me believe anything. What trouble are you in country boy?,,
premiere,173,Misdirection,Event,,C,,,Kelly Freas,,,,,,,,,"Pay [onePower] to target a troop whose recruit cost is two or less. For each additional [onePower][onePower] you pay, you may target another troop whose recruit cost is two or less. Rotate the targets for no effect.",Abruptly Moiraine thrust the staff out to the west. Dead leaves whirled into the air and branches whipped as if a dust devil ran along the line she pointed to.,,
premiere,174,Moghedien (I),Character,,R,Dark One,"Starting Villain,Forsaken,Dreamwalker",David Cherry,,,3,,4,,,,"Whenever Moghedien rolls at least [onePower][onePower][onePower], you do not have to reveal your challenge card on the next turn until after the Challenge Round is over. You must announce any participation restrictions on a hidden challenge card.","Let other fools leap about in full view. They can be brought low by a spider hiding in the cracks, a spider they never see until it is too late.",,
premiere,175,Moiraine Sedai,Character,,F,Aes Sedai,"Light Nature,Blue Ajah,Bonded to Lan Mandragoran",Darrell Sweet,2,2,2,1,2,1,,,"Moiraine cannot be controlled by a Villain player. If the Dragon Reborn pays any of Moiraine's recruit cost, you may pay exactly [politics][politics][onePower] to recruit her.","Her only apparent weapon was a switch, but where she slashed a Trolloc, a line of flame grew on it's flesh.",,
premiere,176,Momentum,Advantage,Player,U,,,Paul Carrick,,,,,,,,,"If you gain a token from the Pattern challenge, you gain 2 support or opposition (your choice) in every other challenge that takes place that turn.","Not even slowing, the front rank of Trollocs ran onto the sharp stakes ... howling as they were impaled, driven down by more huge shapes scrambling up over their backs...",,
premiere,177,Morgase Trakand,Character,,R,Andor,"Queen of Andor,Light Nature",David Cherry,4,4,1,,,,,,You must have 4 Pattern to recruit Morgase. You may rotate Morgase to add two tokens to the Andor contested advantage.,"Morgase had her daughter's beauty, matured and ripened. Her face and figure, her presence, filled the room like a light.",,
premiere,178,Mount,Advantage,Character,R,,,Darrell Sweet,,,,,,,,,The targeted character gains Reinforcement.,With himself and his stallion Mandarb - he said it meant Blade in the Old Tongue - he was not so sparing. The Warder covered twice as much ground as they did...,,
premiere,179,Nae'blis,Advantage,World,U,,Contested Advantage,Mat Innis,,,,,,,,,"Only cards controlled by a Villain player may participate in challenges initiated by this challenge. If any Villain player wins the Last Battle, the Villain controller of this advantage wins instead.","Nae'blis. The one who would stand only a step below the Great Lord, commanding all others.",,
premiere,180,Narg,Character,,C,Dark One,"Trolloc,Monster",Paul Herbert,,,1,,,,1,1,,Others go away. Narg stay. Narg smart.,,
premiere,181,Narrow Escape,Event,,U,,,KC Lancaster,,,,,,,,,"Play when a (non-Hero, non-Villain) character you control is killed. Convert one of your Pattern tokens into a neutral token to place that character in your hand. He is not considered killed.",I left Whitebridge sure you were dead.,,
premiere,182,Noble Allies,Challenge,,R,,,April Lee,,,,,,,,,"If you succeed, this challenge becomes a player advantage targeting you. The advantage increases your maximum hand size by 2.","Besides, if you die, I don't think our Andoran friends will maintain their warm welcome for me and my men.",,
premiere,183,Nynaeve al'Meara,Character,,R,Aes Sedai,"Accepted,Light Nature",David Cherry,1,2,,,2,,,,"If Nynaeve rolls a number of [onePower] equal to her permanent One Power ability, she gains +1 One Power permanently, to a maximum of four. When Nynaeve rolls One Power dice, the results are ignored unless she rolls at least one [onePower].",They said you learned quickly. And they said it took your temper burning to get to the heart of what you can do.,,
premiere,184,Overrun,Event,,F,,,Tim Gerstmar,,,,,,,,,"Remove any number of tokens from your troop damage pool. For each token removed, add one token to your character damage pool.","Banners and con waving, the Cairhienin charged downhill with him, shouting battle cries.",,
premiere,185,Padan Fain,Character,,F,Dark One,,Chris Arneson,,,1,1,,,,,Padan Fain gains +1 Intrigue while participating in a challenge. Padan Fain may reinforce any challenge in which the Dragon Reborn is participating.,"There is much yet hidden about Padan Fain, much I must learn. The evil goes deeper in him, and stronger, than in many I have seen.",,
premiere,186,Patrol,Troop,,U,Children of the Light,Multiple,Jim Houston,,1,,,,,2,,"While participating in a challenge, this card may act as either a character or as a troop.","The Children of the Light hold sway wherever men walk in the Light. Only where the Shadow of the Dark One reigns are the Children denied, yes?",,
premiere,187,Pedron Niall,Character,,R,Children of the Light,Lord Captain Commander,Steve Snyder,3,4,3,2,,,2,2,"While you control Pedron Niall, Children of the Light troops you control gain +1 Combat. You may draw an additional card during the draw round.",Niall's skin was as thin as scraped parchment ... but there was nothing of frailty about him.,,
premiere,188,Perrin Aybara (I),Character,,F,Dragon,"Wolfbrother,Ta'veren",David Cherry,1,2,,,,,2,,"When applying his damage while participating in a challenge, Perrin can choose which applicable character any damage he has generated is applied to.","... the curly-haired blacksmith's apprentice was so stocky as to seem a man and a half wide, with arms and shoulders thick enough to rival those of Master Luhhan.",,
premiere,189,Personal Growth,Event,,F,,,Darrell Sweet,,,,,,,,,Target a character you control who rolled at least one ability symbol during a challenge. Pay one of those symbols. This card becomes a character advantage giving the target character +1 to that ability.,Twice and twice shall he be marked.,,
premiere,190,Plots,Event,,F,,,KC Lancaster,,,,1,,,,,Play during a challenge. Roll two Politics dice and add the results to your pools.,It is no treason which must be done. And even blasphemy can be tolerated for a cause.,,
premiere,191,Political Isolation,Challenge,,C,,,Liz Danforth,,,,,,,,,"Target a player. If you succeed, the target may not roll any Politics dice next turn.",This was hardly the first time they had tried to secure their own places by casting suspicion on any lord or lady not standing with them...,,
premiere,192,Political Maneuvering,Challenge,,C,,,Theodor Black,,,,,,,,,"Only Politics dice may be rolled in this challenge. If successful, add a token to your section of the Pattern.",More praise for Rand's wisdom flowed from Lord Henren... and nearly a dozen others who had held their tongues while those more powerful spoke.,,
premiere,193,Political Prisoner,Challenge,,R,,,Eric Anderson,,,,,,,,,"Target a non-Hero, non-Villain character. For each two by which you succeed, place a prisoner token on the target. The target is rotated and may not ready while any prisoner tokens remain on him. Remove one prisoner token for each [politics] paid by any player as a limited event.","Rand turned his eyes back to the rafters. Six Aes Sedai sat in chairs around the cage, sustaining the shield on him.",,
premiere,194,Portal Stone,Event,Limited,U,,,Mat Innis,,,,,,,,,"Target one or more characters you control. Roll one of the target's One Power dice. For each [onePower] rolled, two of the target characters of your choice become participants in one challenge of your choice. Each targeted participant generates one additional [support] in that challenge. All target characters who do not participate in that challenge rotate for no effect.",The symbols at the bottom indicate Stones at other places.,,
premiere,195,Power Suppression,Event,,R,,,Pat Morrisey,,,,,,,,,"For each [onePower][onePower] you pay, target a rotated character. The targeted characters may not ready during the next ready round.","As he pushed himself to his feet, sight began to return, watery and painful at first.",,
premiere,196,Prepared Defense,Event,Limited,C,,,Jim Pavelec,,,,,,,,,Target a challenge. Only events that have at least one [onePower] in their cost may be played while resolving that challenge.,"Those walls themselves made a perfect square, with one side hard along the river. In just as exact a pattern, towers rose within the walls...",,
premiere,197,Prolonged Campaign,Challenge,,R,,,Nan Fredman,,,,,,,,,"Requires four Pattern to initiate. If you succeed, add a token to your section of the Pattern. If you succeed by 4 or more, add an additional token to your section of the pattern. If your opponent generated no opposition to the challenge, add an additional token to your section of the Pattern. Participants in this challenge do not ready on the following turn.",What remains of the Shaido are retreating north ... but Rand al'Thor seems to have forgotten them. He is sending the spears south toward Tear.,,
premiere,198,Prophecy,Event,,U,,,Darrell Sweet,,,,,,1,,,"Look at the top four cards on your draw deck. Place two of the cards on the bottom of your deck, and return the other two cards to the top of your deck (in any order).","There have always been men willing to proclaim for any man who called himself the Dragon, but they have never before had such signs as this.",,
premiere,199,Pull of the Pattern,Event,,U,,,Ron Rousselle,,,,,,,,,May only be played by a Hero player. Name a card. Reveal the top five cards of your deck. Put any cards with that name into your hand. Shuffle the rest back into your deck.,The Wheel of Time and the wheel of a man's life turn alike without pity or mercy...,,
premiere,200,Queen's Guard,Troop,,R,Andor,,Tony Szezudlo,,2,,,,,5,1,"For each [damage] this troop rolls, it generates an additional [damage] if you control the Queen of Andor.","Thin red streamers fluttered beneath the heads of their lances, every lance held at the same angle.",,
premiere,201,Rahvin (I),Character,,F,Dark One,"Starting Villain,Forsaken",David Cherry,,,1,,4,,1,,"As an event, Rahvin may pay [onePower][onePower][onePower] that he rolled to cause one point of damage to any character or troop in play.","Snatching at saidin, he filled himself with the Power, the taint on the male half of the True Source rolling off the protection of his bonds and oaths ...",,
premiere,202,Raiding Party,Troop,,U,Aiel,"Multiple,Reinforcement",Paul Carrick,,1,1,,,,2,1,The Raiding Party gains +1 Combat ability while participating in a card-based challenge you initiate.,"They seemed all shadow, colors that blended with the darkness too well to see them clearly...",,
premiere,203,Rallying Cry,Challenge,,U,,,Ed Beard,,,,,,,,,"If you succeed, this challenge becomes a player advantage targeting you. Whenever you succeed at a challenge, add a rallying token to this card. Remove one rallying token to reduce the cost of a troop by one ability of your choice.",Carai an Caldazar! Carai an Ellisande! Al Ellisande!,,
premiere,204,Rampage,Challenge,,F,,,Chris Arneson,,,,,,,,,"Only the Villain player may initiate this challenge. Target another player. For each point by which you succeed, the target must discard a random card from his hand.","Splintered, broken wood littered the room; not a single piece of furniture remained whole.",,
premiere,205,Rand al'Thor (I),Character,,R,Dragon,"Starting Hero,Dragon Reborn,Ta'veren",Darrell Sweet,1,,,,2,,2,,"While you control a nation contested advantage, Rand gains the allegiance of that nation. If Rand rolls at least [onePower][onePower], he permanently gains +1 One Power, to a maximum of four.","If the only way I can find time and peace for the world is to impose it, I will.",,
premiere,206,Rand al'Thor (II),Character,,R,Dragon,"Starting Hero,Dragon Reborn,Ta'veren",Darrell Sweet,1,,,,3,,,,"If Rand pays any of the cost for any events requiring One Power, the One Power cost for the card is decreased by 1. If Rand rolls at least [onePower][onePower], he permanently gains +1 One Power, to a maximum of five.","Wrap a shoufa around your head, Rand, and you would be the image of an Aielman.",,
premiere,207,Rand al'Thor (III),Character,,R,Dragon,"Starting Hero,Dragon Reborn,Ta'veren",Darrell Sweet,1,,1,,2,,1,,"Select a non-Dark One allegiance at the beginning of the game. Rand has that allegiance. If Rand rolls at least [onePower][onePower], he permanently gains +1 One Power, to a maximum of four.",It is a name not spoken except among the clan chiefs and the Wise Ones... the Aiel are the People of the Dragon.,,
premiere,208,Rand al'Thor (IV),Character,,F,Dragon,"Starting Hero,Dragon Reborn,Ta'veren",Darrell Sweet,1,,,,2,,1,,"If Rand pays any of the cost to recruit a Dragon or light nature character, apply -1 to the cost of each ability (after all other modifications). If Rand rolls at least [onePower][onePower], he permanently gains +1 One Power, to a maximum of four.",I am Rand al'Thor! ...I am the Dragon Reborn!,,
premiere,209,Rand the King,Character,,R,Dragon,,Darrell Sweet,4,,2,,5,,3,,Replace a Dragon Reborn character when you have 8 Pattern. Rand the King gains the allegiances of all characters he controls.,"The Light illumine Rand al'Thor, King of Illian.",,
premiere,210,Rapid Recovery,Event,,C,,,Steve Snyder,,,,,,,,,All characters you control that rotate to heal this turn remove two points of damage instead of one.,"A dark-haired, youngish man in a red coat, with a bandage wound around his temples, was making his way down the stairs at the side of the common room using padded crutches...",,
premiere,211,Ravens Watching,Event,,C,,,Rob Carlos,,,,,,,,,This card may only be played by a Villain player. Target a card-based challenge. Hero players must pay [intrigue] in addition to any other costs to play each event while resolving that challenge.,In the Borderlands there was a bounty on Ravens; no one there ever dared assume any raven was just a bird...,,
premiere,212,Raw Recruits,Advantage,Player,R,,,David Cherry,,,,,,,,2,Rotate this advantage as a limited event and pay [politics][combat] (of any allegiance) to target a multiple troop in your killed pile. Return that troop to your hand.,Who was the greatest blademaster of all time? From the throats of dozens of students came a massed bellow. Jearom Gaidin!,,
premiere,213,Ready Resources,Advantage,Player,R,,,Ron Rousselle,,1,,,,,,1,You may put advantages from your hand face down under this card. You may play any advantages from under this card as if they were in your hand.,"The armies will be generously financed by High Lord Torean, the wealthiest of you, who will accompany the armies to see that his money is spent wisely.",,
premiere,214,Reducing Influence,Advantage,Player,U,,,Mat Innis,,,,,,,,,"You may initiate a challenge each turn targeting a nation contested advantage. For each 2 by which you succeed, remove another player's token from the advantage.",Shock froze him long enough for Omerna to pull the dagger free and plunge it in again.,,
premiere,215,Regroup,Event,Limited,C,,,Darrell Sweet,,,,,,,,,Target any number of characters and troops who are participating in the same challenge. The targets may immediately rotate to stand down.,I could do with some singing... And maybe a hot mutton pie at the White Boar.,,
premiere,216,Reinforcements,Event,Limited,C,,,Darrell Sweet,,,,,,,,,Target one troop in the battleground for each [combat][combat] you pay. Each target gains Reinforcement.,"A mile into the forest they were joined by two hundred Mayener Winged Guards and five hundred armsmen of House Taborwin, all mounted on the best animals that could be found.",,
premiere,217,Remove Fatigue,Event,,U,,,Diana Vick,,,,,,1,,,Target a character. Ready that character.,Tiredness drained out of him like water running downhill; aches and soreness ebbed to dim memories and vanished.,,
premiere,218,Request Tribute,Challenge,,C,,,Diana Vick,,,,,,,,,"For each two points by which you succeed, you may draw one card. If you do not succeed, all other players draw one card.",At least the wagon trains full of grain were beginning to arrive from Tear with some regularity.,,
premiere,219,Respite,Event,,C,,,Liz Danforth,,,,,,,,,Target a character or troop you control. The target may remove up to three damage tokens if it rotates to heal this turn.,I ... will be right as wellwater ... with a little rest.,,
premiere,220,Rest and Recovery,Advantage,Player,U,,,Ron Walotsky,,,,,,,,,"When none of your characters or troops participated in any challenges this turn, and you succeeded at a challenge on the previous turn, draw an additional card during the draw round.","...a large sitting room and a small, what they called a sulking room hereabouts, and an immense bed chamber with the biggest bed he had ever seen, the massive bed posts carved with entwined flowers of all things, and painted red.",,
premiere,221,Resupply,Advantage,Player,U,,,Kelly Goodeen,,1,,,,,,1,"As a limited event, target a troop you control in the battleground and rotate this card. Remove one point of damage from the target.","Men and women gathered quickly, murmuring their sympathy as they helped injured men from their horses ...",,
premiere,222,Rhuarc,Character,,R,Aiel,"Clan Chief of the Taardad Aiel,Light Nature",Steve Snyder,3,2,,,,,4,4,"You must have 5 Pattern to recruit Rhuarc. While you control Rhuarc, all Aiel characters you control gain +1 Combat while participating in a challenge.","All things must change, but I would not be a part of that change if I could set myself aside from it.",,
premiere,223,Rule of Power,Event,,R,,,Bill O'Conner,,1,,,,1,,,All ability symbols you rolled this turn have all allegiances.,"Look at it, and remember me. Remember that I will come back for it. If anyone wants to take my place, all they have to do is pull it out... But remember the price of failure.",,
premiere,224,Rumors and Lies,Event,,C,,,Jim Holloway,,,,,,,,,Pay any amount of [intrigue]. Target one damaged troop per [intrigue] you pay. The targeted troops may not participate in any card-based challenges next turn.,"At worst... we have heard... reports... rumors might be a better word, but they come from many places.",,
premiere,225,Sabotage,Event,,C,,,Kelly Goodeen,,,,1,,,,,Target any player. He must randomly discard a card from his hand. You may pay an additional [intrigue][intrigue] to make him randomly discard an additional card.,"Over the clamor of alarm bells, he could make out other noises, now. Shouts. Screams. Metal ringing on metal.",,
premiere,226,Saidar Angreal,Advantage,Character,R,,,Ed Beard,,,,,,2,,,"Target a female character you control with the One Power ability. Whenever she rolls her One Power dice, she rolls an equal number of additional One Power dice, up to a maximum of two extra dice from this advantage.","Perrin knew it for an angreal, a remnant from the Age of Legend that allowed an Aes Sedai to safely channel more of the Power than she could alone.",,
premiere,227,Saidin Angreal,Advantage,Character,R,,,Ed Beard,,,,,,2,,,"Target a male character you control with the One Power ability. Whenever he rolls his One Power dice, he rolls an equal number of additional One Power dice, up to a maximum of two extra dice from this advantage.","A woman cannot use an angreal for a man and visa versa. There are rumors of angreal and sa'angreal usable by both men and women, but they remain unconfirmed.",,
premiere,228,Scouting Party,Troop,,U,Aiel,"Multiple,Reinforcement",Tony Moseley,,,,,,,3,2,"During the Coming to Grips step in which this troop is participating against monster troops, a Scouting Party may pay one [combat] as an event to add a token to your troop damage pool or to remove a token from the monster's controller's troop damage pool.","The Aiel begin learning survival skills and the handling of the spear at a very young age, with games designed to enhance skill, speed, and accuracy.",,
premiere,229,Search and Destroy,Challenge,,U,,,Stephen Daniele,,,,,,,,,"Only Combat and One Power may be rolled in this challenge. Target a player advantage. If you succeed by five or more, discard that advantage.","Some houses were only torched to create confusion. The Trollocs ignored them afterwards, and the people fled from them as well ...",,
premiere,230,Seasoned Warrior,Advantage,Character,F/C,,,Ron Walotsky,,,,,,,,1,"During the Opening Moves step of a challenge in which the target is participating, he may pay [combat] to add a token to your character damage pool.",All softness had been hammered out of them at a harder forge than he had ever known.,,
premiere,231,Seat of Power,Advantage,Player,R,,,April Lee,,,,,,,,,You may rotate this advantage as a limited event to generate one [politics] for each nation contested advantage you control. Symbols generated by this advantage have all allegiances.,"Lord Barthane's manor crouched like a huge toad in the night... Rand saw guards moving on the tower tops and along roofwalks, and none of the windows were close to the ground.",,
premiere,232,Second Front,Event,,C,,,Darrell Sweet,,,,,,,,,Monsters you control may participate in the same challenge as non-Dark One cards you control.,All your talk of protecting people from Trollocs. How many died at Trolloc hands after you came?,,
premiere,233,Secondary Efforts,Challenge,,F,,,Pat Morrisey,,,,,,,,,"If you succeed, add one token to your section of the Pattern.",So that was one of the things Dreamers could do. She could not wait to start learning.,,
premiere,234,Secret Aid,Event,,C,,,Jim Holloway,,,,,,,,,"Target a character participating in a challenge. During the Opening Moves step of that challenge, the target automatically generates [politics][intrigue][combat] (in addition to any rolled results).","That bunch of broomweed by that shop door. It is a Yellow Ajah signal, an emergency signal from one of the Yellow's eyes-and-ears.",,
premiere,235,Sentries,Troop,,U,Mercenary,Multiple,Jim Holloway,,,,,,,1,1,"During the Opening Moves step in which this card is participating, you may rotate and kill this card to generate 2 opposition to the challenge.","Hands went uncertainly to sword hilts, or spears and long shields, or lances. Some of the soldiers half moved as if to close the gates even while looking to their officer.",,
premiere,236,Shaidar Haran (I),Character,,R,Dark One,Monster,Jeff Menges,2,3,2,1,,1,4,1,You must have 6 Pattern to recruit Shaidar Haran. Rotate Shaidar Haran to retrieve a card with the Dark One allegiance from your deck and place it in your hand. Add one token to your section of the Pattern while you control Shaidar Haran.,I will take you to the Great Lord... I am Shaidar Haran.,,
premiere,237,Shattered Dreams,Challenge,,U,,,Ed Beard,,,,,,,,,"Target another player. If you succeed by two or more, the target may not recruit next turn.","Weep, if you have a heart, for the loss of them, for the loss of even their memory. Weep, for the loss of their blood.",,
premiere,238,Shayol Ghul,Advantage,World,R,,Contested Advantage,Tim Gerstmar,,,,,,,,,"Only cards controlled by a Villain player may participate in challenges initiated with this advantage. While you control Shayol Ghul, your Forsaken may use the Ta'veren ability to negate damage once per turn for each two by which you control it.",All of the Dreadlords traveled to the Pit of Doom in Shayol Ghul to dedicate their souls to the Dark One.,,
premiere,239,Similar Ideals,Event,,F,,,Tim Gerstmar,,,,,,,,,"If you are a Hero player, when you play this card you may recruit light nature characters without any allegiance penalty. If you are a Villain player, when you play this card you may recruit dark nature characters without any allegiance penalty.","I offer you my services, and those of my nine thousand Saldean horse.",,
premiere,240,Siuan Sanche,Character,,R,Aes Sedai,"The Amyrlin Seat,Light Nature",Jim Houston,4,3,2,,3,2,,,You must have 5 pattern to recruit Siuan. Rotate Siuan as an event to retrieve a card with the Aes Sedai allegiance from your deck and place it in your hand.,Who comes here? Who comes here? Who comes here? The Watcher of the Seals. The Flame of Tar Valon. The Amyrlin Seat.,,
premiere,241,Skimming,Event,,U,,,Larry Elmore,,,,,,,,,Target one character you control for each [onePower] you pay. Each target gains Reinforcement.,"A door opened beneath the dome in front of him. That was the only way to describe it. An opening into darkness, into somewhere else.",,
premiere,242,Skirmish,Challenge,,C,,,David Monette,,,,,,,,,"No cards can reinforce this challenge. If you succeed, add one token to your section of the Pattern.","Axes and spears and spiked things dully reflected stray glimmers of moonlight. Boots scraped on the floor, and there was a rhythmic click, as of hooves, as well.",,
premiere,243,Spying,Event,,F,,,Diana Stein,,,,1,,,,,Target a player. Look at his hand and any face down cards he controls.,"...their presence here, on this floor, in the shadows, staring intently at the bright light at the end of the hall, that was not usual at all.",,
